# PLT-23 gateway-overhead comparison — AIGatewayBench harness commit ff372fc
# date=2026-09-06 host_label=ccx23 run_label=1 nproc=4 mem_gb=15 kernel=6.8.0-138-generic load1m=0.68
# tracelane_sha=f5560eba-wip litellm_python_version=1.100.0
# mock_url=http://2.28.46.92:9100 mock_bind=0.0.0.0 mock_ttft_ms=0 mock_itl_ms=0
gateway,status,version,n,p50_ms,p95_ms,p99_ms,peak_rss_mb,notes
direct,ok,direct-mock,4510,3,4,5,2.363,
tracelane,ok,f5560eba-wip,2723,81,88,91,14.119,capture proof: 2802 rows in tracelane.spans after the run
litellm-python,ok,1.100.0,3628,17,52,88,336.72,
portkey,ok,1.15.2,4318,7,11,17,185.815,
bifrost,ok,v2.0.0,4388,4,7,9,101.835,
litellm-rust,CANNOT_DETERMINE,,,,,,,no public build — LiteLLM's own harness README builds it from a private branch (/home/ubuntu/repos/litellm/litellm-rust @ litellm_rust_messages_route) on their machine; never skip silently, per spec
